iter	MAE
0	501.1656071
1	477.0277013
2	454.4440573
3	433.6264164
4	415.2777559
5	398.1312289
6	382.6085389
7	368.0879614
8	354.9655925
9	342.4647091
10	332.427849
11	322.6046189
12	312.8306191
13	304.3362337
14	296.5999779
15	290.2313249
16	283.9625029
17	278.1520151
18	272.8597187
19	268.2251392
20	263.7789856
21	260.2297296
22	256.5591429
23	253.3219825
24	250.5311174
25	247.9790842
26	245.5126539
27	243.6476025
28	241.8770087
29	240.3522978
30	238.9248297
31	237.5863624
32	236.2648993
33	235.0819286
34	234.0441406
35	233.0062522
36	232.103385
37	231.2463128
38	230.5894339
39	229.8846725
40	229.3495099
41	228.8463006
42	228.408052
43	228.0277424
44	227.6469165
45	227.3106753
46	226.9947584
47	226.7319512
48	226.3416122
49	226.1091513
50	225.9054457
51	225.7129063
52	225.4796267
53	225.2421873
54	225.0857616
55	224.9113019
56	224.7420812
57	224.5995252
58	224.458923
59	224.3276125
60	224.1797961
61	224.0420331
62	223.9151619
63	223.8127559
64	223.7239301
65	223.5805091
66	223.485108
67	223.4070372
68	223.3014793
69	223.1819092
70	223.1074254
71	223.0364511
72	222.9289985
73	222.8731516
74	222.8190044
75	222.7225707
76	222.6522092
77	222.5727872
78	222.5132679
79	222.4519688
80	222.3833338
81	222.3140891
82	222.2612412
83	222.1842739
84	222.1314833
85	222.1001976
86	222.0538221
87	221.9893242
88	221.9374244
89	221.8850489
90	221.8098968
91	221.7377481
92	221.6499562
93	221.5906362
94	221.5379288
95	221.4758014
96	221.4169582
97	221.3611186
98	221.3154757
99	221.2642903
100	221.2299758
101	221.1712895
102	221.1330881
103	221.1093037
104	221.0596889
105	220.9958608
106	220.9317389
107	220.8832718
108	220.8313689
109	220.7933561
110	220.7514425
111	220.7281176
112	220.6494793
113	220.6028214
114	220.562683
115	220.5271559
116	220.4528116
117	220.3908976
118	220.3417269
119	220.2965826
120	220.22753
121	220.1822511
122	220.1350436
123	220.0692979
124	220.0390982
125	219.9990822
126	219.9797559
127	219.957569
128	219.9225902
129	219.87146
130	219.8439107
131	219.8060309
132	219.784746
133	219.7448411
134	219.7274939
