iter	Passed	Remaining
0	3807	7612159
1	7069	7062180
2	11015	7332348
3	14832	7401376
4	18001	7182616
5	21043	6993490
6	24162	6879426
7	26711	6651184
8	29079	6433039
9	31496	6267735
10	34243	6191933
11	36862	6106938
12	39805	6084102
13	42469	6024600
14	45484	6019129
15	48374	5998376
16	51103	5961127
17	54352	5984842
18	57381	5982824
19	60232	5963004
20	63093	5945856
21	66039	5937548
22	69074	5937410
23	72206	5945013
24	74753	5905526
25	78182	5935838
26	81268	5938655
27	84263	5934586
28	87096	5919546
29	89651	5887129
30	92626	5883278
31	95668	5883594
32	98934	5897070
33	102380	5919979
34	105736	5936321
35	108741	5932466
36	112001	5942122
37	114995	5937385
38	117842	5925346
39	120521	5905568
40	123179	5885560
41	126162	5881584
42	128611	5853304
43	131710	5855131
44	134551	5845519
45	137642	5846814
46	140784	5850065
47	143753	5845985
48	146729	5842227
49	150064	5852511
50	153022	5847846
51	155943	5841893
52	158681	5829297
53	162188	5844795
54	164745	5826008
55	167155	5802693
56	169448	5776106
57	172420	5773100
58	175322	5767814
59	177873	5751235
60	181029	5754378
61	183984	5750993
62	186978	5748837
63	189726	5739230
64	192594	5733401
65	195417	5726336
66	198343	5722348
67	201252	5717924
68	203847	5704765
69	206811	5702096
70	210053	5706951
71	213424	5715029
72	216530	5715822
73	219435	5711242
74	222735	5716868
75	225736	5714694
76	228729	5712304
77	231195	5696882
78	234116	5692893
79	237383	5697205
80	240262	5692143
81	243302	5690915
82	245991	5681505
83	248874	5676716
84	252034	5678178
85	254958	5674299
86	257642	5665183
87	260438	5658615
88	263253	5652556
89	266475	5655194
90	269386	5651202
91	272081	5642742
92	275572	5650723
93	278186	5640665
94	281306	5640930
95	283989	5632458
96	286880	5628190
97	289710	5622746
98	292759	5621582
99	296054	5625036
100	298889	5619717
101	301975	5619116
102	304641	5610726
103	307629	5608323
104	310293	5600066
105	312819	5589441
106	315772	5586511
107	317998	5570870
108	320637	5562624
109	323402	5556634
110	326226	5551725
111	329250	5550230
112	331828	5541249
113	334991	5542058
114	338226	5543973
115	341217	5541847
116	343915	5534975
117	348007	5550422
118	351408	5554621
119	354173	5548716
120	357481	5551304
121	361346	5562368
122	364199	5557745
123	367176	5555032
124	370700	5560513
125	374340	5567577
126	377908	5573413
127	381257	5575889
128	384593	5578092
129	388468	5587967
130	391925	5591675
131	395119	5591545
132	398343	5591780
133	401231	5587291
134	403969	5580762
